country_name,iso3c,income_id,msw_generation_tons_year,pop
Aruba,ABW,HIC,88132.0167,103187
Afghanistan,AFG,LIC,5628525.37,34656032
Angola,AGO,LMC,4213643.585,25096150
Albania,ALB,UMC,1087446.75,2854191
Andorra,AND,HIC,43000,82431
United Arab Emirates,ARE,HIC,5617682,9770529
Argentina,ARG,HIC,17910550,42981516
Armenia,ARM,UMC,492800,2906220
American Samoa,ASM,UMC,18989.49,55599
Antigua and Barbuda,ATG,HIC,30585,96777
Australia,AUS,HIC,13345000,23789338
Austria,AUT,HIC,5219715.5,8877067
Azerbaijan,AZE,UMC,2930349,9649341
Burundi,BDI,LIC,1872016,6741569
Belgium,BEL,HIC,4765883,11484055
Benin,BEN,LIC,685936.01,5521763
Burkina Faso,BFA,LIC,2575251.11,18110624
Bangladesh,BGD,LMC,14778497.33,155727056
Bulgaria,BGR,UMC,2859190,7025037
Bahrain,BHR,HIC,951942.96945,1425171
"Bahamas, The",BHS,HIC,264000,386838
Bosnia and Herzegovina,BIH,UMC,1248718,3535961
Belarus,BLR,UMC,4280000,9489616
Belize,BLZ,UMC,101378.83030000002,359288
Bermuda,BMU,HIC,82000,64798
Bolivia,BOL,LMC,2219052,10724705
Brazil,BRA,UMC,79069584,208494896
Barbados,BRB,HIC,174815.44444444444,280601
Brunei Darussalam,BRN,HIC,216253.15599999996,423196
Bhutan,BTN,LMC,111314.05,686958
Botswana,BWA,UMC,210854.442618916,2014866
Central African Republic,CAF,LIC,1105983,4515392
Canada,CAN,HIC,25103034,35544564
Switzerland,CHE,HIC,6079556,8574832
Channel Islands,CHI,HIC,178933,164541
Chile,CHL,HIC,6517000,16829442
China,CHN,UMC,395081376,1400050048
Côte d’Ivoire,CIV,LMC,4440814.27,20401332
Cameroon,CMR,LMC,3270616.59,21655716
"Congo, Dem. Rep.",COD,LIC,14385226.02,78736152
"Congo, Rep.",COG,LMC,451200,2648507
Colombia,COL,UMC,12150120,46406648
Comoros,COM,LIC,91013,777424
Cabo Verde,CPV,LMC,132555,513979
Costa Rica,CRI,UMC,1460000,4757575
Cuba,CUB,UMC,2692691.98,11303687
Curacao,CUW,HIC,24703.813200000004,153822
Cayman Islands,CYM,HIC,60000,59172
Cyprus,CYP,HIC,769485.125,1198575
Czech Republic,CZE,HIC,5334854.5,10669709
Germany,DEU,HIC,50627876,83132800
Djibouti,DJI,LMC,114997.24900398408,746221
Dominica,DMA,UMC,13176,72400
Denmark,DNK,HIC,4910858.5,5818553
Dominican Republic,DOM,UMC,4063910,10528394
Algeria,DZA,UMC,12378740,40606052
Ecuador,ECU,UMC,5297211.142533937,16144368
"Egypt, Arab Rep.",EGY,LMC,21000000,87813256
Eritrea,ERI,LIC,726957.37,4474690
Spain,ESP,HIC,22408548,47076780
Estonia,EST,HIC,489511.71875,1326590
Ethiopia,ETH,LIC,6532786.97,99873032
Finland,FIN,HIC,3124497.75,5520314
Fiji,FJI,UMC,189389.594,867086
France,FRA,HIC,36748820,67059888
Faeroe Islands,FRO,HIC,61000,48842
"Micronesia, Fed. Sts.",FSM,LMC,26039.57,104937
Gabon,GAB,UMC,238102.31,1086137
United Kingdom,GBR,HIC,30771140,66460344
Georgia,GEO,LMC,800000,3717100
Ghana,GHA,LMC,3538274.97825,21542008
Gibraltar,GIB,HIC,16954,33623
Guinea,GIN,LIC,596911,8132552
"Gambia, The",GMB,LIC,193440.54,1311349
Guinea-Bissau,GNB,LIC,289514,1770526
Equatorial Guinea,GNQ,UMC,198443.06,1221490
Greece,GRC,HIC,5615352.5,10716322
Grenada,GRD,UMC,29536.113936927773,105481
Greenland,GRL,HIC,50000,56905
Guatemala,GTM,UMC,2756740.97135,16252429
Guam,GUM,HIC,141500,159973
Guyana,GUY,UMC,179251.5,746556
"Hong Kong SAR, China",HKG,HIC,5679816.465,7305700
Honduras,HND,LMC,2162027.69575,9112867
Croatia,HRV,HIC,1810037.5,4067500
Haiti,HTI,LIC,2309852.45485,10847334
Hungary,HUN,HIC,3780970.25,9769949
Indonesia,IDN,LMC,65200000,261115456
Isle of Man,IMN,HIC,50551,80759
India,IND,LMC,189750000,1352617344
Ireland,IRL,HIC,2910655,4867316
"Iran, Islamic Rep.",IRN,UMC,17885000,80277424
Iraq,IRQ,UMC,13140000,36115648
Iceland,ISL,HIC,225270.40625,343400
Israel,ISR,HIC,5400000,8380100
Italy,ITA,HIC,30088400,60297396
Jamaica,JAM,UMC,1051694.575,2881355
Jordan,JOR,UMC,2529997,8413464
Japan,JPN,HIC,42720000,126529104
Kazakhstan,KAZ,UMC,4659740,16791424
Kenya,KEN,LMC,5595099,41350152
Kyrgyz Republic,KGZ,LMC,1113300,5956900
Cambodia,KHM,LMC,1089000,15270790
Kiribati,KIR,LMC,35723.8275,114395
St. Kitts and Nevis,KNA,HIC,32892.14,54288
"Korea, Rep.",KOR,HIC,20452776,51606632
Kuwait,KWT,HIC,1750000,2998083
Lao PDR,LAO,LMC,351900,6663967
Lebanon,LBN,UMC,2040000,5603279
Liberia,LBR,LIC,564466.7,3512932
Libya,LBY,UMC,2147596.47175,6193501
St. Lucia,LCA,UMC,77616.228,177206
Liechtenstein,LIE,HIC,32382,36545
Sri Lanka,LKA,LMC,2631650,21203000
Lesotho,LSO,LMC,73457,1965662
Lithuania,LTU,HIC,1315390.375,2786844
Luxembourg,LUX,HIC,490337.75,619896
Latvia,LVA,HIC,839714.375,1912789
"Macao SAR, China",MAC,HIC,377942,612167
St. Martin (French part),MAF,HIC,15479.5,30959
Morocco,MAR,LMC,6852000,34318080
Monaco,MCO,HIC,46000,37783
Moldova,MDA,LMC,3981200,3554108
Madagascar,MDG,LIC,3768759.16,24894552
Maldives,MDV,UMC,211505.78,409163
Mexico,MEX,UMC,53100000,125890952
Marshall Islands,MHL,UMC,8614,52793
"Macedonia, FYR",MKD,UMC,626970.375,2082958
Mali,MLI,LIC,1937354.44,16006670
Malta,MLT,HIC,348841.1875,502653
Myanmar,MMR,LMC,4677306.52914,46095464
Montenegro,MNE,UMC,329780.3125,622227
Mongolia,MNG,LMC,2900000,3027398
Northern Mariana Islands,MNP,HIC,32761.4145,54036
Mozambique,MOZ,LIC,2500000,27212382
Mauritania,MRT,LMC,454000,3506288
Mauritius,MUS,UMC,438000,1263473
Malawi,MWI,LIC,1297844.48,16577147
Malaysia,MYS,UMC,12982685,30228016
Namibia,"NAM",UMC,256729,1559983
New Caledonia,NCL,HIC,108157.384,278000
Niger,NER,LIC,1865645.67,8842415
Nigeria,NGA,LMC,27614830.07185,154402176
Nicaragua,NIC,LMC,1528816.29335,5737723
Netherlands,NLD,HIC,8805088,17332850
Norway,NOR,HIC,4149967.25,5347896
Nepal,NPL,LIC,1768977.49,28982772
Nauru,NRU,UMC,6191.7505,13049
New Zealand,NZL,HIC,3405000,4692700
Oman,OMN,HIC,1734885.15,3960925
Pakistan,PAK,LMC,30760000,193203472
Panama,PAN,HIC,1472262.2151499998,3969249
Peru,PER,UMC,8356711.13,30973354
Philippines,PHL,LMC,14631922.9,103320224
Palau,PLW,HIC,9426.7455,21503
Papua New Guinea,PNG,LMC,1000000,7755785
Poland,POL,HIC,12758213,37970872
Puerto Rico,PRI,HIC,4170953,3473181
Portugal,PRT,HIC,5268211,10269417
Paraguay,PRY,UMC,1818501.3648,6639119
West Bank and Gaza,PSE,LMC,1387000,4046901
French Polynesia,PYF,HIC,147000,273528
Qatar,QAT,HIC,1000990.016,2109568
Romania,ROU,UMC,5419832.5,19356544
Russian Federation,RUS,UMC,60000000,143201680
Rwanda,RWA,LIC,4384969,11917508
Saudi Arabia,SAU,HIC,16125700.584,31557144
Sudan,SDN,LMC,2831291,38647804
Senegal,SEN,LIC,2454059.25,15411614
Singapore,SGP,HIC,1870000,5703600
Solomon Islands,SLB,LMC,179971.964375,563513
Sierra Leone,SLE,LIC,610222.09,5439695
El Salvador,SLV,LMC,1648996.18,6164626
San Marino,SMR,HIC,17174.68,33203
Somalia,SOM,LIC,2326099.17,14317996
Serbia,SRB,UMC,2347401.5,6944975
South Sudan,SSD,LIC,2680681,11177490
São Tomé and Príncipe,STP,LMC,25586.5,191266
Suriname,SUR,UMC,78619.79914999999,526103
Slovak Republic,SVK,HIC,2296164.75,5454073
Slovenia,SVN,HIC,1052324.75,2087946
Sweden,SWE,HIC,4618168.5,10285453
Eswatini,SWZ,LMC,218199.47,1343098
Sint Maarten (Dutch part),SXM,HIC,NA,37685
Seychelles,SYC,HIC,48000,88303
Syrian Arab Republic,SYR,LIC,4500000,20824892
Turks and Caicos Islands,TCA,HIC,NA,34900
Chad,TCD,LIC,1358850.53,11887202
Togo,TGO,LIC,1109030.45,7228915
Thailand,THA,UMC,26853366,68657600
Tajikistan,TJK,LIC,1787400,8177809
Turkmenistan,TKM,UMC,500000,5366277
Timor-Leste,TLS,LMC,63875,1268671
Tonga,TON,UMC,17238.20175,104951
Trinidad and Tobago,TTO,HIC,727874,1328100
Tunisia,TUN,LMC,2700000,11143908
Turkey,TUR,UMC,35374156,83429616
Tuvalu,TUV,UMC,3989.4865,11097
NA,TWN,HIC,7336000,23434000
Tanzania,TZA,LIC,9276995,49082996
Uganda,UGA,LIC,7045049.836,35093648
Ukraine,UKR,LMC,15242025,45004644
Uruguay,URY,HIC,1260139.5086500002,3431552
United States,USA,HIC,265224528,326687488
Uzbekistan,UZB,LMC,4000000,29774500
St. Vincent and the Grenadines,VCT,UMC,31561.34925,109455
"Venezuela, RB",VEN,UMC,9779093.14,29893080
British Virgin Islands,VGB,HIC,21099.19,20645
Virgin Islands (U.S.),VIR,HIC,146500,105784
Vietnam,VNM,LMC,9570300,86932496
Vanuatu,VUT,LMC,70225.489,270402
Samoa,WSM,UMC,27399.09,187665
Kosovo,XKX,LMC,319000,1801800
"Yemen, Rep.",YEM,LIC,4836820,27584212
South Africa,ZAF,UMC,18457232,51729344
Zambia,ZMB,LMC,2608268,14264756
Zimbabwe,ZWE,LIC,1449752,12500525
